detailref;entryref;linenumber;linenumbercounter;accmainid;accmainiddesc;accsubid;accsubdesc;amount;debitcreditcode;postingdate;documenttype;doctypedesc;documentnumber;documentreference;entrynumbercounter;documentdate;paymentmethod;detailcomment;erpno;divisionno;enteredby;entereddate;entrynumber;entrycomment
912672;344544;12;4;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000003;00000000000000000000000000000166;4;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000166;00000000000000000000000000000166 numaralý iþlem
912673;344545;13;5;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000004;00000000000000000000000000000167;5;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000167;00000000000000000000000000000167 numaralý iþlem
912674;344545;14;5;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000004;00000000000000000000000000000167;5;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000167;00000000000000000000000000000167 numaralý iþlem
912675;344545;15;5;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000004;00000000000000000000000000000167;5;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000167;00000000000000000000000000000167 numaralý iþlem
912676;344546;16;6;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000005;00000000000000000000000000000168;6;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000168;00000000000000000000000000000168 numaralý iþlem
912677;344546;17;6;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000005;00000000000000000000000000000168;6;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000168;00000000000000000000000000000168 numaralý iþlem
912678;344546;18;6;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000005;00000000000000000000000000000168;6;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000168;00000000000000000000000000000168 numaralý iþlem
912679;344547;19;7;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000006;00000000000000000000000000000169;7;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000169;00000000000000000000000000000169 numaralý iþlem
912680;344547;20;7;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000006;00000000000000000000000000000169;7;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000169;00000000000000000000000000000169 numaralý iþlem
912681;344547;21;7;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000006;00000000000000000000000000000169;7;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000169;00000000000000000000000000000169 numaralý iþlem
912682;344548;22;8;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000007;00000000000000000000000000000170;8;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000170;00000000000000000000000000000170 numaralý iþlem
912683;344548;23;8;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000007;00000000000000000000000000000170;8;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000170;00000000000000000000000000000170 numaralý iþlem
912684;344548;24;8;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000007;00000000000000000000000000000170;8;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000170;00000000000000000000000000000170 numaralý iþlem
912685;344549;25;9;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000008;00000000000000000000000000000171;9;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000171;00000000000000000000000000000171 numaralý iþlem
912686;344549;26;9;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000008;00000000000000000000000000000171;9;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000171;00000000000000000000000000000171 numaralý iþlem
912687;344549;27;9;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000008;00000000000000000000000000000171;9;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000171;00000000000000000000000000000171 numaralý iþlem
912688;344550;28;10;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000009;00000000000000000000000000000172;10;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000172;00000000000000000000000000000172 numaralý iþlem
912689;344550;29;10;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000009;00000000000000000000000000000172;10;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000172;00000000000000000000000000000172 numaralý iþlem
912690;344550;30;10;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000009;00000000000000000000000000000172;10;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000172;00000000000000000000000000000172 numaralý iþlem
912691;344551;31;11;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000010;00000000000000000000000000000173;11;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000173;00000000000000000000000000000173 numaralý iþlem
912692;344551;32;11;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000010;00000000000000000000000000000173;11;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000173;00000000000000000000000000000173 numaralý iþlem
912693;344551;33;11;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000010;00000000000000000000000000000173;11;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000173;00000000000000000000000000000173 numaralý iþlem
912694;344552;34;12;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000011;00000000000000000000000000000174;12;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000174;00000000000000000000000000000174 numaralý iþlem
912695;344552;35;12;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000011;00000000000000000000000000000174;12;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000174;00000000000000000000000000000174 numaralý iþlem
912696;344552;36;12;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000011;00000000000000000000000000000174;12;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000174;00000000000000000000000000000174 numaralý iþlem
912697;344553;37;13;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000012;00000000000000000000000000000175;13;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000175;00000000000000000000000000000175 numaralý iþlem
912698;344553;38;13;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000012;00000000000000000000000000000175;13;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000175;00000000000000000000000000000175 numaralý iþlem
912699;344553;39;13;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000012;00000000000000000000000000000175;13;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000175;00000000000000000000000000000175 numaralý iþlem
912700;344554;40;14;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000013;00000000000000000000000000000176;14;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000176;00000000000000000000000000000176 numaralý iþlem
912701;344554;41;14;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000013;00000000000000000000000000000176;14;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000176;00000000000000000000000000000176 numaralý iþlem
912702;344554;42;14;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000013;00000000000000000000000000000176;14;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000176;00000000000000000000000000000176 numaralý iþlem
912703;344555;43;15;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000014;00000000000000000000000000000177;15;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000177;00000000000000000000000000000177 numaralý iþlem
912704;344555;44;15;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000014;00000000000000000000000000000177;15;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000177;00000000000000000000000000000177 numaralý iþlem
912705;344555;45;15;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000014;00000000000000000000000000000177;15;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000177;00000000000000000000000000000177 numaralý iþlem
912706;344556;46;16;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000015;00000000000000000000000000000178;16;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000178;00000000000000000000000000000178 numaralý iþlem
912707;344556;47;16;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000015;00000000000000000000000000000178;16;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000178;00000000000000000000000000000178 numaralý iþlem
912708;344556;48;16;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000015;00000000000000000000000000000178;16;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000178;00000000000000000000000000000178 numaralý iþlem
912709;344557;49;17;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000016;00000000000000000000000000000179;17;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000179;00000000000000000000000000000179 numaralý iþlem
912710;344557;50;17;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000016;00000000000000000000000000000179;17;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000179;00000000000000000000000000000179 numaralý iþlem
912711;344557;51;17;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000016;00000000000000000000000000000179;17;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000179;00000000000000000000000000000179 numaralý iþlem
912712;344558;52;18;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000017;00000000000000000000000000000180;18;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000180;00000000000000000000000000000180 numaralý iþlem
912713;344558;53;18;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000017;00000000000000000000000000000180;18;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000180;00000000000000000000000000000180 numaralý iþlem
912714;344558;54;18;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000017;00000000000000000000000000000180;18;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000180;00000000000000000000000000000180 numaralý iþlem
912715;344559;55;19;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000018;00000000000000000000000000000181;19;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000181;00000000000000000000000000000181 numaralý iþlem
912716;344559;56;19;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000018;00000000000000000000000000000181;19;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000181;00000000000000000000000000000181 numaralý iþlem
912717;344559;57;19;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000018;00000000000000000000000000000181;19;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000181;00000000000000000000000000000181 numaralý iþlem
912718;344560;58;20;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000019;00000000000000000000000000000182;20;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000182;00000000000000000000000000000182 numaralý iþlem
912719;344560;59;20;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000019;00000000000000000000000000000182;20;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000182;00000000000000000000000000000182 numaralý iþlem
912720;344560;60;20;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000019;00000000000000000000000000000182;20;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000182;00000000000000000000000000000182 numaralý iþlem
912721;344561;61;21;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000020;00000000000000000000000000000183;21;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000183;00000000000000000000000000000183 numaralý iþlem
912722;344561;62;21;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000020;00000000000000000000000000000183;21;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000183;00000000000000000000000000000183 numaralý iþlem
912723;344561;63;21;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000020;00000000000000000000000000000183;21;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000183;00000000000000000000000000000183 numaralý iþlem
912724;344562;64;22;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000021;00000000000000000000000000000184;22;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000184;00000000000000000000000000000184 numaralý iþlem
912725;344562;65;22;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000021;00000000000000000000000000000184;22;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000184;00000000000000000000000000000184 numaralý iþlem
912726;344562;66;22;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000021;00000000000000000000000000000184;22;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000184;00000000000000000000000000000184 numaralý iþlem
912727;344563;67;23;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000022;00000000000000000000000000000185;23;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000185;00000000000000000000000000000185 numaralý iþlem
912728;344563;68;23;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000022;00000000000000000000000000000185;23;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000185;00000000000000000000000000000185 numaralý iþlem
912729;344563;69;23;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000022;00000000000000000000000000000185;23;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000185;00000000000000000000000000000185 numaralý iþlem
912730;344564;70;24;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000023;00000000000000000000000000000186;24;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000186;00000000000000000000000000000186 numaralý iþlem
912731;344564;71;24;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000023;00000000000000000000000000000186;24;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000186;00000000000000000000000000000186 numaralý iþlem
912732;344564;72;24;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000023;00000000000000000000000000000186;24;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000186;00000000000000000000000000000186 numaralý iþlem
912733;344565;73;25;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000024;00000000000000000000000000000187;25;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000187;00000000000000000000000000000187 numaralý iþlem
912734;344565;74;25;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000024;00000000000000000000000000000187;25;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000187;00000000000000000000000000000187 numaralý iþlem
912735;344565;75;25;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000024;00000000000000000000000000000187;25;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000187;00000000000000000000000000000187 numaralý iþlem
912736;344566;76;26;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000025;00000000000000000000000000000188;26;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000188;00000000000000000000000000000188 numaralý iþlem
912737;344566;77;26;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000025;00000000000000000000000000000188;26;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000188;00000000000000000000000000000188 numaralý iþlem
912738;344566;78;26;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000025;00000000000000000000000000000188;26;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000188;00000000000000000000000000000188 numaralý iþlem
912739;344567;79;27;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000026;00000000000000000000000000000189;27;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000189;00000000000000000000000000000189 numaralý iþlem
912740;344567;80;27;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000026;00000000000000000000000000000189;27;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000189;00000000000000000000000000000189 numaralý iþlem
912741;344567;81;27;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000026;00000000000000000000000000000189;27;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000189;00000000000000000000000000000189 numaralý iþlem
912742;344568;82;28;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000027;00000000000000000000000000000190;28;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000190;00000000000000000000000000000190 numaralý iþlem
912743;344568;83;28;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000027;00000000000000000000000000000190;28;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000190;00000000000000000000000000000190 numaralý iþlem
912744;344568;84;28;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000027;00000000000000000000000000000190;28;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000190;00000000000000000000000000000190 numaralý iþlem
912745;344569;85;29;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000028;00000000000000000000000000000191;29;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000191;00000000000000000000000000000191 numaralý iþlem
912746;344569;86;29;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000028;00000000000000000000000000000191;29;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000191;00000000000000000000000000000191 numaralý iþlem
912747;344569;87;29;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000028;00000000000000000000000000000191;29;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000191;00000000000000000000000000000191 numaralý iþlem
912748;344570;88;30;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000029;00000000000000000000000000000192;30;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000192;00000000000000000000000000000192 numaralý iþlem
912749;344570;89;30;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000029;00000000000000000000000000000192;30;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000192;00000000000000000000000000000192 numaralý iþlem
912750;344570;90;30;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000029;00000000000000000000000000000192;30;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000192;00000000000000000000000000000192 numaralý iþlem
912751;344571;91;31;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000030;00000000000000000000000000000193;31;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000193;00000000000000000000000000000193 numaralý iþlem
